UKPRN,NAME
10000047,The Association of British Dispensing Opticians
10000093,Accrington and Rossendale College
10000146,Bexley London Borough Council
10000163,Anglo-European College of Chiropractic
10000275,Amersham and Wycombe College
10000291,Anglia Ruskin University
10000385,The Arts University College at Bournemouth
10000409,Ashton-under-Lyne Sixth Form College
10000415,Askham Bryan College
10000528,Barking and Dagenham College
10000534,Barnfield College
10000536,Barnsley College
10000560,Basingstoke College of Technology
10000571,Bath Spa University
10000654,Berkshire College of Agriculture
10000670,Bexhill College
10000671,Bexley College
10000712,University College Birmingham
10000721,Bishop Burton College
10000747,Blackburn College
10000754,Blackpool and the Fylde College
10000794,Bolton College
10000812,Boston College
10000824,Bournemouth University
10000840,Bradford College
10000878,Bridgwater College
10000886,The University of Brighton
10000936,The British School of Osteopathy
10000948,Bromley College of Further and Higher Education
10000950,Brooklands Technical College
10000952,Brooksby Melton College
10000961,Brunel University
10000975,Buckinghamshire New University
10001000,Burnley College
10001004,Burton and South Derbyshire College
10001093,Calderdale College
10001143,Canterbury Christ Church University
10001144,Canterbury College
10001196,Carlisle College
10001207,Carshalton College
10001282,The University of Northumbria at Newcastle
10001309,Coventry and Warwickshire Chambers of Commerce Training Limited
10001378,Chesterfield College
10001452,City and Islington College
10001457,"City College, Brighton and Hove"
10001458,"City College, Coventry"
10001465,City of Bath College
10001467,City of Bristol College
10001475,City of Sunderland College
10001476,City of Westminster College
10001478,The City University
10001503,Cleveland College of Art and Design
10001535,Colchester Institute
10001548,"The College of Haringey, Enfield and North East London"
10001549,College of North West London
10001653,Conservatoire for Dance and Drama
10001696,Cornwall College
10001726,Coventry University
10001743,Craven College
10001778,Croydon College
10001883,De Montfort University
10001897,Dearne Valley College
10001919,Derby College
10002005,Doncaster College
10002094,"Ealing, Hammersmith & West London College"
10002126,East Riding College
10002130,East Surrey College
10002143,Eastleigh College
10002144,Easton College
10002344,European School Of Osteopathy
10002370,Exeter College
10002412,Farnborough College of Technology
10002599,Furness College
10002681,Glasgow School of Art
10002696,Gloucestershire College
10002718,Goldsmiths College
10002767,The Greenbank Project
10002780,Greenwich Community College
10002815,Guildford College of Further and Higher Education
10002835,Hackney Community College
10002843,Hadlow College
10002863,Riverside College Halton
10002901,Harper Adams University College
10002907,Harrow College
10002935,Havering College of Further and Higher Education
10003010,Henley College Coventry
10003022,Hereford College of Arts
10003023,Herefordshire College of Technology
10003128,Holy Cross College
10003146,Hopwood Hall College
10003189,Kirklees College
10003193,Hugh Baird College
10003200,Hull College
10003270,"Imperial College of Science, Technology and Medicine"
10003406,Isle of Wight College
10003558,Kendal College
10003564,Kensington and Chelsea College
10003614,The University of Winchester
10003645,King's College London
10003674,Kingston College
10003676,Kingston Maurward College
10003678,Kingston University
10003708,Knowsley Community College
10003753,"Lakes College, West Cumbria"
10003755,Lambeth College
10003768,Lancaster and Morecambe College
10003854,Leeds College of Art
10003855,Leeds College of Building
10003861,Leeds Metropolitan University
10003863,Leeds Trinity University College
10003864,Leek College of Further Education and School of Art
10003867,Leicester College
10003894,Lewisham College
10003928,Lincoln College
10003945,The Liverpool Institute for Performing Arts
10003955,Liverpool Community College
10003956,Liverpool Hope University
10003957,Liverpool John Moores University
10004048,London Metropolitan University
10004063,London School of Economics and Political Science
10004078,London South Bank University
10004112,Loughborough College
10004113,Loughborough University
10004144,Macclesfield College
10004180,The Manchester Metropolitan University
10004206,University College Plymouth St Mark and St John
10004285,Medway District Council
10004339,Mid-Cheshire College of Further Education
10004340,Mid-Kent College of Higher and Further Education
10004351,Middlesex University
10004375,Milton Keynes College
10004442,Moulton College
10004478,Myerscough College
10004576,"New College, Durham"
10004577,New College Nottingham
10004599,Newcastle College
10004603,Newcastle-Under-Lyme College
10004607,Newham College of Further Education
10004676,Petroc
10004686,North East Surrey College of Technology (Nescot)
10004695,North Lindsey College
10004705,North Nottinghamshire College
10004718,North Warwickshire and Hinckley College
10004721,North West Kent College of Technology
10004736,"Northbrook College, Sussex"
10004772,"City College, Norwich"
10004775,Norwich University College of the Arts
10004797,The Nottingham Trent University
10004927,Oxford and Cherwell Valley College
10004930,Oxford Brookes University
10005072,Peter Symonds College
10005077,Peterborough Regional College
10005124,Plumpton College
10005127,Plymouth College of Art
10005128,"City College, Plymouth"
10005200,Preston College
10005337,"Queen Margaret University, Edinburgh"
10005343,The Queen's University of Belfast
10005389,Ravensbourne
10005404,Reaseheath College
10005415,Redcliffe College
10005465,"Richard Huish College, Taunton"
10005469,Richmond Upon Thames College
10005470,"Richmond, The American International University in London"
10005500,The Robert Gordon University
10005523,Rose Bruford College
10005534,Rotherham College of Arts and Technology
10005545,Royal Agricultural College
10005553,Royal Holloway and Bedford New College
10005575,Runshaw College
10005669,Sandwell College
10005700,Scottish Agricultural College
10005741,Selby College
10005788,The Sheffield College
10005790,Sheffield Hallam University
10005946,Solihull College
10005956,Somerset College of Arts and Technology
10005967,South Birmingham College
10005972,South Cheshire College
10005977,South Devon College
10005979,South Downs College
10005981,South Essex College of Further and Higher Education
10005989,South Leicestershire College
10005991,South Nottingham College
10005997,South Thames College
10005998,Trafford College
10005999,South Tyneside College
10006022,Southampton Solent University
10006038,Southport College
10006050,Sparsholt College Hampshire
10006226,"St Mary's College, Blackburn"
10006293,Stafford College
10006299,Staffordshire University
10006303,New College Stamford
10006322,Stephenson College
10006331,Stockport College of Further and Higher Education
10006349,Stoke on Trent College
10006378,Strode College
10006427,University for the Creative Arts
10006432,Sussex Downs College
10006442,Birmingham Metropolitan College
10006463,Swindon College
10006494,Tameside College
10006566,The University of West London
10006570,Thanet College
10006770,The Oldham College
10006840,The University of Birmingham
10006841,The University of Bolton
10006842,The University of Liverpool
10007063,Truro and Penwith College
10007137,The University of Chichester
10007138,The University of Northampton
10007139,The University of Worcester
10007140,Birmingham City University
10007141,The University of Central Lancashire
10007143,University of Durham
10007144,The University of East London
10007145,University of Gloucestershire
10007146,The University of Greenwich
10007147,University of Hertfordshire
10007148,The University of Huddersfield
10007149,The University of Hull
10007150,The University of Kent
10007151,The University of Lincoln
10007152,University of Bedfordshire
10007154,The University of Nottingham
10007155,The University of Portsmouth
10007156,The University of Salford
10007157,The University of Sheffield
10007158,The University of Southampton
10007159,The University of Sunderland
10007160,The University of Surrey
10007161,Teesside University
10007162,"University of the Arts, London"
10007163,The University of Warwick
10007164,"University of the West of England, Bristol"
10007165,The University of Westminster
10007166,The University of Wolverhampton
10007167,The University of York
10007193,Uxbridge College
10007289,Wakefield College
10007299,Walford and North Shropshire College
10007315,Walsall College
10007339,Warrington Collegiate
10007361,Waverley Training And Events
10007407,West Cheshire College
10007419,South and West Kent College
10007427,West Nottinghamshire College
10007434,West Thames College
10007455,Westminster Kingsway College
10007459,Weston College
10007469,Weymouth College
10007500,Wigan and Leigh College
10007527,Wiltshire College
10007553,Wirral Metropolitan College
10007578,City of Wolverhampton College
10007621,Worcester College of Technology
10007636,The Working Men's College
10007657,Writtle College
10007696,Yeovil College
10007700,YMCA George Williams College
10007709,York College
10007713,York St John University
10007759,Aston University
10007760,Birkbeck College
10007761,Courtauld Institute of Art
10007762,Glasgow Caledonian University
10007764,Heriot-Watt University
10007765,Heythrop College
10007766,Institute of Education
10007767,The University of Keele
10007768,The University of Lancaster
10007772,Edinburgh Napier University
10007773,The Open University
10007774,The University of Oxford
10007775,Queen Mary and Westfield College
10007776,Roehampton University
10007778,Royal College of Music
10007779,The Royal Veterinary College
10007780,The School of Oriental and African Studies
10007782,St George's Hospital Medical School
10007783,The University of Aberdeen
10007784,University College London
10007785,The University of Bradford
10007786,The University of Bristol
10007787,The University of Buckingham
10007788,The University of Cambridge
10007789,The University of East Anglia
10007790,The University of Edinburgh
10007791,The University of Essex
10007792,The University of Exeter
10007793,University of Glamorgan
10007794,The University of Glasgow
10007795,The University of Leeds
10007796,The University of Leicester
10007798,The University of Manchester
10007799,The University of Newcastle-upon-Tyne
10007800,The University of the West of Scotland
10007801,The University of Plymouth
10007802,The University of Reading
10007803,The University of St Andrews
10007804,The University of Stirling
10007805,The University of Strathclyde
10007806,The University of Sussex
10007807,University of Ulster
10007811,Bishop Grosseteste University College Lincoln
10007812,University of London Institute in Paris
10007814,Cardiff University
10007816,Central School of Speech and Drama
10007817,Chichester College
10007820,Coleg Llandrillo Cymru
10007823,Edge Hill University
10007825,Guildhall School of Music and Drama
10007832,Newman University College
10007833,Glynd?r University
10007834,Pembrokeshire College
10007835,Royal Academy of Music
10007837,Royal Northern College of Music
10007838,Royal Welsh College of Music and Drama
10007842,University of Cumbria
10007843,"St Mary's University College, Twickenham"
10007846,Swansea Metropolitan University
10007848,University of Chester
