UKPRN,NAME
10000047,Association of British Dispensing Opticians(The)
10000055,Abingdon and Witney College
10000080,Access to Music Ltd
10000093,Accrington and Rossendale College
10000143,Barking & Dagenham London Borough Council
10000163,AECC Chiropractic College
10000248,ALRA (Academy of Live and Recorded Arts)
10000256,Alton College
10000275,Amersham and Wycombe College
10000291,Anglia Ruskin University
10000330,Aquinas College
10000385,The Arts University Bournemouth
10000409,Ashton-Under-Lyne Sixth Form College
10000415,Askham Bryan College
10000473,Aylesbury College
10000517,Banff and Buchan College of Further Education
10000528,Barking and Dagenham College
10000533,Barnet and Southgate College
10000534,Barnfield College
10000536,Barnsley College
10000546,Barrow-In-Furness Sixth Form College
10000552,Barton Peveril College
10000560,Basingstoke College of Technology
10000571,Bath Spa University
10000587,Beacon Community College
10000596,Beauchamp College (The)
10000610,Bedford College
10000654,Berkshire College of Agriculture
10000670,Bexhill College
10000671,Bexley College
10000683,Bicton College
10000695,Bilborough College
10000702,Birkenhead Sixth Form College
10000706,Birmingham Centre for Arts Therapies
10000712,University College Birmingham
10000720,Bishop Auckland College
10000721,Bishop Burton College
10000747,Blackburn College
10000749,Blackburne House (WTEC)
10000754,Blackpool and the Fylde College
10000756,Blackpool Sixth Form College
10000760,Blake Education Limited
10000794,Bolton College
10000796,Bolton Sixth Form College
10000812,Boston College
10000820,The Bournemouth and Poole College
10000824,Bournemouth University
10000825,Bournville College of Further Education
10000833,Bracknell and Wokingham College
10000840,Bradford College
10000856,Branston Community College
10000872,Bridge College
10000875,Bridgemary Community Sports College
10000878,Bridgwater College
10000886,The University of Brighton
10000887,Brighton Hove and Sussex Sixth Form College
10000911,British College Of Naturopathy And Osteopathy
10000920,British Institute of Technology and E-Commerce Ltd
10000936,British School of Osteopathy. The
10000944,Brockenhurst College
10000947,The Bromley by Bow Centre
10000948,Bromley College of Further and Higher Education
10000950,Brooklands College
10000952,Brooksby Melton College
10000961,Brunel University
10000975,Buckinghamshire New University
10000995,Burleigh Community College
10001000,Burnley College
10001004,Burton and South Derbyshire College
10001005,Bury College
10001011,Bushfield Community College
10001082,Cadbury Sixth Form College
10001093,Calderdale College
10001099,Callington Community College
10001100,Challenge College (The)
10001116,Cambridge Regional College
10001121,Cambridge Women's Resources Centre Limited
10001143,Canterbury Christ Church University
10001144,Canterbury College
10001148,Capel Manor College
10001165,Cardinal Newman College
10001196,Carlisle College
10001201,Carmel College
10001207,Carshalton College
10001214,Casterton Business and Enterprise College
10001230,Forster Community College Limited
10001264,Central School of Ballet
10001282,The University of Northumbria at Newcastle
10001288,Centre for Youth Ministry
10001305,Challney High School for Boys and Community College
10001309,Coventry and Warwickshire Chambers of Commerce Training Limited
10001346,Cheadle and Marple Sixth Form College
