TQI_ITT,JACS 2.0,LEV_1,LEV_2,LEV_3
0,A000,1,01,001
0,A100,1,01,001
0,A200,1,01,002
0,A300,1,01,001
0,A400,1,01,002
0,A900,1,01,001
0,A990,1,01,001
0,B000,2,04,011
0,B100,2,02,003
0,B110,2,02,003
0,B120,2,02,003
0,B130,2,02,003
0,B131,2,02,003
0,B132,2,02,003
0,B140,2,02,003
0,B160,2,02,003
0,B190,2,02,003
0,B200,2,02,004
0,B210,2,02,004
0,B220,2,02,004
0,B230,2,02,004
0,B290,2,02,004
0,B300,2,04,006
0,B310,2,04,006
0,B320,2,04,006
0,B330,2,04,006
0,B340,2,04,006
0,B341,2,04,006
0,B342,2,04,006
0,B343,2,04,006
0,B344,2,04,006
0,B345,2,04,006
0,B346,2,04,006
0,B390,2,04,006
0,B400,2,04,007
0,B410,2,04,007
0,B490,2,04,007
0,B500,2,04,008
0,B510,2,04,008
0,B520,2,04,008
0,B590,2,04,008
0,B600,2,04,009
0,B610,2,04,009
0,B620,2,04,009
0,B630,2,04,009
0,B690,2,04,009
0,B700,2,03,005
0,B701,2,03,005
0,B710,2,03,005
0,B711,2,03,005
0,B712,2,03,005
0,B713,2,03,005
0,B714,2,03,005
0,B720,2,03,005
0,B730,2,03,005
0,B740,2,03,005
0,B741,2,03,005
0,B750,2,03,005
0,B760,2,03,005
0,B761,2,03,005
0,B770,2,03,005
0,B771,2,03,005
0,B780,2,03,005
0,B790,2,03,005
0,B800,2,04,010
0,B810,2,04,010
0,B820,2,04,010
0,B821,2,04,010
0,B822,2,04,010
0,B830,2,04,010
0,B840,2,04,010
0,B850,2,04,010
0,B890,2,04,010
0,B900,2,04,011
0,B910,2,04,011
0,B920,2,04,011
0,B930,2,04,011
0,B940,2,04,011
0,B990,2,04,011
0,C000,3,05,017
0,C100,3,05,012
0,C110,3,05,012
0,C111,3,05,012
0,C120,3,05,012
0,C130,3,05,012
0,C131,3,05,012
0,C140,3,05,012
0,C141,3,05,012
0,C142,3,05,012
0,C150,3,05,012
0,C160,3,05,012
0,C161,3,05,012
0,C162,3,05,012
0,C170,3,05,012
0,C180,3,05,012
0,C181,3,05,012
0,C182,3,05,012
0,C190,3,05,012
0,C191,3,05,012
0,C200,3,05,017
0,C210,3,05,017
0,C220,3,05,017
0,C240,3,05,017
0,C250,3,05,017
0,C290,3,05,017
0,C300,3,05,013
0,C310,3,05,013
0,C320,3,05,013
0,C330,3,05,013
0,C340,3,05,013
0,C350,3,05,013
0,C360,3,05,013
0,C390,3,05,013
0,C400,3,05,014
0,C410,3,05,014
0,C420,3,05,014
0,C430,3,05,014
0,C431,3,05,014
0,C432,3,05,014
0,C440,3,05,014
0,C450,3,05,014
0,C460,3,05,014
0,C490,3,05,014
0,C500,3,05,015
0,C510,3,05,015
0,C520,3,05,015
0,C521,3,05,015
0,C522,3,05,015
0,C530,3,05,015
